,Announcement_Date,PURPOSE,REMARKS
113,26-08-2013,Others,Amara Raja Batteries Ltd has submitted to BSE a copy of minutes of the 2...
114,16-08-2013,Others,Amara  Raja Batteries Ltd has informed BSE regarding the details of  Vot...
115,22-07-2013,Others,Amara  Raja  Batteries Ltd has informed BSE that the  28th  Annual  Gene...
116,25-06-2013,Others,Amara  Raja  Batteries Ltd has informed BSE that CRISIL  has  upgraded  ...
117,12-06-2013,Others,Amara  Raja  Batteries  Ltd has informed BSE that Mr.  M.  R.  Rajaram  ...
118,16-10-2012,Others,Amara Raja Batteries Ltd has submitted to BSE a copy of the abstract  un...
119,10-10-2012,Others,Amara  Raja Batteries Ltd has informed BSE that the Board of  Directors ...
120,26-09-2012,Others,Amara  Raja  Batteries  Ltd has informed BSE that the Sub  -  Division  ...
121,23-08-2012,Others,Amara Raja Batteries Ltd has informed BSE that the proceedings of the  2...
122,16-08-2012,Others,Amara  Raja  Batteries Ltd has informed BSE that the  27th  Annual  Gene...
123,25-07-2012,Others,Amara  Raja  Batteries Ltd has informed BSE that the  27th  Annual  Gene...
124,09-07-2012,Others,Amara  Raja Batteries Ltd has informed BSE that CRISIL has  reaffirmed  ...
125,14-02-2012,Others,Amara  Raja Batteries Ltd has informed BSE that the Board of  Directors ...
126,29-08-2011,Others,Amara Raja Batteries Ltd has informed BSE that the members at the 26th A...
127,11-04-2011,Others,Amara Raja Batteries Ltd has informed BSE that the Company has decided t...
128,23-02-2011,Others,Amara Raja Batteries Ltd has informed BSE that CRISIL has reaffirmed its...
129,22-02-2011,Others,Amara Raja Batteries Ltd has informed BSE regarding a Press Release date...
130,01-02-2011,Others,Amara Raja Batteries Ltd has informed BSE that since Mr. Jorge A. Gonzal...
131,25-01-2011,Others,Amara Raja Batteries Ltd has informed BSE that One Time Special Dividend...
