,Announcement_Date,PURPOSE,REMARKS
162,06-10-2018,Others,Certificate in terms of regulation 40 of SEBI (Listing Obligations and D...
163,03-10-2018,Others,Infosys Assigned A3 Rating with Stable Outlook by Moody''s Investor Service
164,24-09-2018,Others,Public Services and Procurement Canada Selects Infosys Public Services t...
165,21-09-2018,Others,Press Release titled Infosys Partners with Google Cloud to Develop Data ...
166,18-09-2018,Others,Disclosure
167,17-09-2018,Others,'Infosys Makes Additional Investment of US$1.5 million in TidalScale Inc.'
168,14-09-2018,Others,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
169,10-09-2018,Others,Australian Open and Infosys announce strategic technology partnership
170,07-09-2018,Others,Infosys and Temasek Announce Joint Venture in Singapore.
171,26-08-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
172,24-08-2018,Others,"In continuation of our letter dated August 24, 2018 on the captioned sub..."
173,23-08-2018,Others,Infosys Science Foundation Partners with New York Academy of Sciences to...
174,20-08-2018,Others,Investor Conference
175,18-08-2018,Others,Outcome of the Board meeting - Infosys Limited
176,17-08-2018,Others,Newspaper advertisement for transfer of unclaimed dividend and correspon...
177,13-08-2018,Others,Infosys Press release: Infosys to Open Software Development Centre in We...
178,10-08-2018,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
179,08-08-2018,Others,Press releases:  1. Australian and New Zealand Enterprises Lagging Behin...
180,05-08-2018,Others,Investor meeting details
181,29-07-2018,Others,"Infosys to Expand Presence in Noida, Uttar Pradesh"
182,25-07-2018,Others,Grant of Stock incentives to employees
183,24-07-2018,Others,"In continuation to our letter dated July 18, 2018 with regard to the Not..."
184,19-07-2018,Others,"Infosys Expands its Global Network of Digital Studios, Announces the Ope..."
185,18-07-2018,Others,"Please find enclosed the transcripts of the common TV address, press cal..."
186,16-07-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
187,10-07-2018,Others,"Infosys to Announce First Quarter Results on July 13, 2018"
188,05-07-2018,Others,Infosys Partners with Siemens to Develop Advanced IoT Engineering Soluti...
189,27-06-2018,Others,"Transcript of the AGM held on June 23, 2018"
190,26-06-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
191,24-06-2018,Others,37th Annual General Meeting ('AGM') and voting results.
192,19-06-2018,Others,Infosys Expands Footprint in France by Establishing State-of-the-Art Dig...
193,15-06-2018,Others,Trading window closure intimation
194,13-06-2018,Others,Infosys and Rhode Island School of Design Launch Pioneering Design Partn...
195,11-06-2018,Others,INFOSYS ANNOUNCES THE APPROVAL FOR VOLUNTARY DELISTING OF ITS AMERICAN D...
196,07-06-2018,Others,Investor meeting transcript
197,06-06-2018,Others,Investor presentation
198,21-05-2018,Others,"Notice of the 37th Annual General Meeting to be held on June 23, 2018"
199,11-05-2018,Others,Ravi Venkatesan Steps off Infosys Board to Pursue Exciting New Opportunity
200,10-05-2018,Others,Infosys Releases New Capabilities for its AI-powered Enterprise Service ...
201,04-05-2018,Others,Please refer the attachment
202,03-05-2018,Others,"Myawaddy Bank, Myanmar Selects Infosys Finacle to Power Its Digital Tran..."
203,27-04-2018,Others,Press Release titled Infosys to Establish U.S. Education Center in India...
204,19-04-2018,Others,"Transcripts of the press call, comman tv call and the earnings call held..."
205,18-04-2018,Others,News Clarification with respect to news article appearing on The Economi...
206,16-04-2018,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
207,10-04-2018,Others,Calix and Infosys Enter Strategic Co-Creation Partnership to Accelerate ...
208,22-03-2018,Others,Infosys Invests an Additional USD 1.5 Million in Waterline Data Science
209,16-03-2018,Others,This is to inform you that a meeting of the Board of Directors of the Co...
210,12-03-2018,Others,Infosys Announces its Intent to Voluntarily Delist from Euronext Paris a...
211,08-03-2018,Others,The Exchange had sought clarification from Infosys Ltd with respect to n...
212,06-03-2018,Others,"This is to inform that the Company has allotted 1,196 equity shares unde..."
213,05-03-2018,Others,Infosys Selected by Allison Transmission to Provide Next-Generation Infr...
214,28-02-2018,Others,Infosys Finacle Inducts Moneythor into its FinTech Engagement Program
215,24-02-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
216,22-02-2018,Others,The Exchange has received the disclosure under Regulation 29(1) of SEBI ...
217,21-02-2018,Others,Infosys named a Leader in Applications Management and Digital Operations...
218,20-02-2018,Others,Infosys and PTC launch Industrial IoT Center of Excellence
219,19-02-2018,Others,Infosys Recognised as a Top Employer in Europe
220,05-02-2018,Others,"The  Company  has  allotted  142,309 equity shares  under  the  2015  St..."
221,23-01-2018,Others,Infosys  Research:  Business Leaders Adapt as Enterprise  AI  Moves  Bey...
