,Announcement_Date,PURPOSE,REMARKS
109,28-06-2019,Others,Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure...
110,25-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
111,21-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
112,20-06-2019,Others,TCS Wins 2019 Pega Partner Award for Excellence in Digital Transformation
113,19-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
114,18-06-2019,Others,TCS Named a Leader in Next-Gen Testing Services by NelsonHall
115,17-06-2019,Others,TCS Teams Up with SAP to Transform Surgical Kit Handling with an IoT and...
116,14-06-2019,Others,Tata Consultancy Services Ltd has informed BSE regarding the details of ...
117,13-06-2019,Others,TCS Program Gives European Graduates a Head Start in Tech Careers
118,11-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
119,10-06-2019,Others,TCS Positioned as a Leader and Star Performer in Property & Casualty Ins...
120,07-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
121,05-06-2019,Others,TCS and Star Alliance Celebrate 15 years of Partnership with New Digital...
122,04-06-2019,Others,TCS New York City Marathon App Wins MediaPost's APPY Award
123,03-06-2019,Others,TCS Launches MasterCraftT TransformPlus v4.0 with New Cognitive Features...
124,31-05-2019,Others,Pursuant to Regulation 8(2) of the Securities and Exchange Board of Indi...
125,30-05-2019,Others,The Company''s Registrars and Transfer Agents - TSR Darashaw Limited (''...
126,21-05-2019,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
127,20-05-2019,Others,Special Report Offers Civic Leaders Effective Strategies to Build Smart ...
128,17-05-2019,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
129,16-05-2019,Others,The twenty-fourth Annual General Meeting ('AGM') of the Company will be ...
130,15-05-2019,Others,TCS BaNCS to Help Accelerate Adoption of Payments Canada's Modernization...
131,14-05-2019,Others,Toronto Students Compete for Top Spots at Annual TCS goIT Tech Summit
132,10-05-2019,Others,TCS and the U.S. Chamber Foundation Assemble Leaders to Discuss How to S...
133,09-05-2019,Others,"Pursuant to Regulation 23(9) of Listing Regulations, please find enclose..."
134,08-05-2019,Others,2019 Virgin Money London Marathon Official Race App Sets New Record for ...
135,30-04-2019,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
136,26-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
137,25-04-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
138,22-04-2019,Others,India Post Partners with TCS to Digitally Reimagine Postal Services
139,18-04-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
140,16-04-2019,Others,ignioT Wins Artificial Intelligence Excellence Award
141,15-04-2019,Others,Zions Bancorporation Unifies Lending Operations with TCS BaNCS
142,12-04-2019,Others,We enclose the audited financial results of the Company and audited cons...
143,10-04-2019,Others,TCS Partners with Google Cloud to Build Industry-specific Cloud Solutions
144,09-04-2019,Others,"Canada's Leading Retailer, Loblaw, Transforms IT Operations with TCS' ig..."
145,05-04-2019,Others,TCS Launches Official App for 2019 Virgin Money London Marathon
146,04-04-2019,Others,NBB Selects TCS BaNCS to Power Core Banking Transformation
147,03-04-2019,Others,Ahli Brokerage Selects TCS BaNCS Digital to Offer On-The-Go Trading Serv...
148,02-04-2019,Others,TCS BaNCS to Power Harbin Bank's Transformation into an International Brand
149,01-04-2019,Others,TCS Recognized as a Leader in Everest Group's Property & Casualty Insura...
150,29-03-2019,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
151,26-03-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
152,19-03-2019,Others,TCS Named Snowflake EMEA GSI Partner of the Year
153,18-03-2019,Others,Seadrill Selects TCS to Drive Global IT Transformation
154,14-03-2019,Others,TCS Named a Star Performer in Everest Group's Multi-Process Human Resour...
155,13-03-2019,Others,TCS' ignioT Powers IT Transformation at Tata Steel Europe
156,11-03-2019,Others,New Version of TCS' MRT Platform to Help Pharma Cos Digitally Transform ...
157,06-03-2019,Others,"TCS' Coding Challenge Draws 210,000"
158,05-03-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
159,01-03-2019,Others,TCS Recognized for Extensive Investments and Empowerment of Communities ...
160,28-02-2019,Others,Yoyogi Seminar Selects TCS iON PAPER to Transform Spoken English Tests i...
161,27-02-2019,Others,TCS Ranked as the #1 High-Tech Service Provider by HFS
162,26-02-2019,Others,TCS Launches ignioT Cheetah to Accelerate Transformation of Enterprise I...
163,21-02-2019,Others,TCS Named a Leader in Global Continuous Testing Services by Independent ...
164,19-02-2019,Others,TCS and Nanoheal to Provide Digital Workspace Automation for End-user De...
165,23-01-2019,Others,TCS Named Fastest Growing Brand of the Decade in IT Services
166,18-01-2019,Others,TCS Recognized as a Leader in Capital Markets Application Services by Ev...
167,17-01-2019,Others,TCS Recognized as a Leader in Cloud Infrastructure Brokerage and Orchest...
168,16-01-2019,Others,TCS Named a Leader in Next Generation Mortgage and Loan BPS for Third Co...
169,15-01-2019,Others,TCS Debuts Connected Intelligence Data Lake for BusinessT on AWS Marketp...
170,11-01-2019,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
171,09-01-2019,Others,TCS Recognized as a Leader in Capital Markets Application Services by Ev...
172,08-01-2019,Others,TCS a Leader in Blockchain Services: Everest Group
173,05-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
174,04-01-2019,Others,TCS Named a Leader in IoT Services by Zinnov
175,03-01-2019,Others,Emirates NBD Selects TCS BaNCS for Transformation in Payments
176,02-01-2019,Others,TCS Launches JileT 2.0 to Support Large Scale Agile Planning and Delivery
177,31-12-2018,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
