,Announcement_Date,PURPOSE,REMARKS
144,11-01-2019,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
145,09-01-2019,Others,TCS Recognized as a Leader in Capital Markets Application Services by Ev...
146,08-01-2019,Others,TCS a Leader in Blockchain Services: Everest Group
147,05-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
148,04-01-2019,Others,TCS Named a Leader in IoT Services by Zinnov
149,03-01-2019,Others,Emirates NBD Selects TCS BaNCS for Transformation in Payments
150,02-01-2019,Others,TCS Launches JileT 2.0 to Support Large Scale Agile Planning and Delivery
151,31-12-2018,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
152,28-12-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding Loss of Share C...
153,25-12-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding Loss of Share C...
154,20-12-2018,Others,TCS BaNCS Transforms Payments Operations at MUFG - Japan's Largest Bank
155,19-12-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
156,18-12-2018,Others,TCS Collaborates with Red Hat to Build Next-Gen Solutions that Accelerat...
157,14-12-2018,Others,Issue of Duplicate Share Certificate pursuant to Regulation 39(3) of SEB...
158,13-12-2018,Others,New Version of Connected Clinical Trials Platform Launched at TCS ADD Va...
159,12-12-2018,Others,TCS Recognized as a Leader in Gartner Magic Quadrant for Application Tes...
160,11-12-2018,Others,TCS and Singapore Airlines Launch New Solution for the Airline Industry ...
161,04-12-2018,Others,TCS Launches Intelligent Power Plant Solution to Digitally Transform Uti...
162,30-11-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
163,29-11-2018,Others,TCS and Phoenix Group Expand Longstanding Partnership
164,28-11-2018,Others,TCS Acquires BridgePoint Group
165,27-11-2018,Others,"TCS and Discovery Education Bring Computational Thinking to 5,100 Educat..."
166,20-11-2018,Others,TCS a Leader in IDC MarketScape for Global DevOps Services
167,19-11-2018,Others,TCS Teams up with SAP to Build the Intelligent Rail Digital Maintenance ...
168,16-11-2018,Others,TCS Wins Company of the Year Award for Achievements in Canada
169,15-11-2018,Others,TCS Wins Hr NETWORK Scotland National Award 2018 for its IT Futures Prog...
170,12-11-2018,Others,TCS Partners with ENGIE Laborelec to Protect Critical Infrastructures ag...
171,05-11-2018,Others,TCS Commits Pro Bono Technology Services to Support Research on Sudden U...
172,01-11-2018,Others,"TCS Acquires W12 Studios, an Award-Winning, London-Based Digital Design ..."
173,29-10-2018,Others,TCS' Repeatable Carve-Out Model helps Bayer Complete Multiple Divestitur...
174,26-10-2018,Others,TCS BaNCS named a Leader in the Gartner Magic Quadrant for Global Retail...
175,24-10-2018,Others,TCS Ranked #1 for Customer Satisfaction in Survey of Leading Swiss Organ...
176,23-10-2018,Others,TCS' OptumeraTM Wins AIconics Award for Best Application of AI in the En...
177,16-10-2018,Others,TCS Wins Eleven Stevies at the 2018 Great Employers Awards
178,11-10-2018,Others,We enclose the audited financial results of the Company and audited cons...
179,10-10-2018,Others,We are sending herewith copy of the Press Release titled TCS Named Azure...
180,05-10-2018,Others,Please find enclosed the certificate under Regulation 7(3) of Securities...
181,04-10-2018,Others,New Development Bank Deploys TCS BaNCS as its Flexible Digital Backbone
182,29-09-2018,Others,Pursuant to Regulation 30(1) of the SEBI (Listing Obligations and Disclo...
