,Announcement_Date,PURPOSE,REMARKS
100,21-10-2016,Others,Sunflower  Investments  & Textiles Ltd has submitted the  disclosure  un...
101,20-10-2016,Others,Sunflower  Investments  & Textiles Ltd has submitted the  disclosure  un...
102,06-09-2016,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that The  Bom...
103,17-08-2016,Others,Bombay  Dyeing  &  Manufacturing Company Ltd has informed BSE  about  : ...
104,11-07-2016,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that Mr. Sanj...
105,31-05-2016,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  Bo...
106,02-05-2016,Others,Bombay  Dyeing  & Manufacturing Company Ltd has informed BSE  that  Mr. ...
107,27-04-2016,Others,Reliance  Capital Asset Management Ltd has submitted the disclosures  un...
108,13-04-2016,Others,Bombay  Dyeing  &  Manufacturing Company Ltd  has  informed  BSE  regard...
109,04-04-2016,Others,Bombay  Dyeing  &  Manufacturing  Company Ltd has  informed  BSE  that  ...
110,01-04-2016,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  Bo...
111,01-03-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
112,23-02-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
113,19-02-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
114,15-02-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
115,29-01-2016,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
116,19-01-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
117,15-01-2016,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
118,14-01-2016,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that a  Meet...
119,10-12-2015,Others,Bombay  Dyeing  &  Manufacturing Company Ltd  has  informed  BSE  regard...
120,09-11-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE  regarding  ...
121,16-10-2015,Others,Bombay  Dyeing  &  Manufacturing Company Ltd  has  informed  BSE  regard...
122,08-10-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
123,07-09-2015,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
124,03-09-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
125,28-08-2015,Others,Deposit from its members and publicBombay  Dyeing  &  Manufacturing Comp...
126,11-08-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
127,28-07-2015,Others,Sunflower Investments & Textiles Pvt Ltd has submitted the disclosure un...
128,13-07-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
129,09-07-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE  regarding  ...
130,06-07-2015,Others,Reliance  Capital Asset Management Ltd has submitted the disclosures  un...
131,05-06-2015,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the memb...
132,01-06-2015,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that Mr.  J. ...
133,25-05-2015,Others,Bombay   Dyeing  &  Manufacturing  Company  Ltd  has  informed  BSE   ab...
