,Announcement_Date,PURPOSE,REMARKS
112,12-03-2019,Others,Infosys Finacle Partners Hatton National Bank to Pioneer Blockchain-Base...
113,11-03-2019,Others,Investors Conference
114,07-03-2019,Others,Infosys to Deliver Engineering and Digital Services to Rolls-Royce Group
115,06-03-2019,Others,"This is to inform that the Company has allotted 2,79,122 equity shares u..."
116,28-02-2019,Others,Inadvertent Trading by designated person
117,27-02-2019,Others,Press Release- Infosys Foundation Announces Winners of the Aarohan Socia...
118,25-02-2019,Others,Infosys Launches New Service Offerings to Help Communication Service Pro...
119,22-02-2019,Others,Statement from Infosys Foundation
120,21-02-2019,Others,Infosys Recognized among the Top Three Employers in Europe and Middle East
121,18-02-2019,Others,Settlement order issued by the Securities and Exchange Board of India ('...
122,17-02-2019,Others,Investors conference
123,14-02-2019,Others,RBL Bank Adopts Finacle Assure for Preventive Maintenance on AWS Cloud
124,12-02-2019,Others,Infosys Inaugurates Providence Digital Innovation and Design Center
125,11-02-2019,Others,investor conference
126,05-02-2019,Others,Further to the outcome of meeting of the board of directors of the Compa...
127,01-02-2019,Others,Investor Meeting
128,28-01-2019,Others,"This is to inform that the Company has allotted 4,424 equity shares unde..."
129,17-01-2019,Others,Transcripts of Press conference and earnings call
130,14-01-2019,Others,Advertisement in Newspapers regarding Financial Results.
131,11-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
132,08-01-2019,Others,Board of Directors to consider proposal(s) for implementation of the cap...
133,05-01-2019,Others,Infosys Science Foundation Awards Winners of the Infosys Prize 2018
134,04-01-2019,Others,Infosys Science Foundation Announces Results of the ISF Nutrition Challenge
135,02-01-2019,Others,"Infosys to Announce Third Quarter Results on January 11, 2019"
136,24-12-2018,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
137,20-12-2018,Others,Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disc...
138,18-12-2018,Others,Allotment of Equity Shares
139,17-12-2018,Others,"In continuation to our letter dated December 14, 2018 with regard to Boa..."
140,14-12-2018,Others,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
141,07-12-2018,Others,"This is to inform you that Mohit Joshi - President & Head, Banking, Fina..."
142,06-12-2018,Others,Infosys Inaugurates Hartford Technology and Innovation Hub
143,04-12-2018,Others,Celebrating Computer Science Education Week
144,02-12-2018,Others,"This is to inform you that Mohit Joshi - President & Head, Banking, Fina..."
145,29-11-2018,Others,Infosys Enables Citizens Energy Group to Navigate Next Phase of its Cust...
